Sequence;MOTU_mPTP
ZTITI089N23_Bosmina_Peru_BOLD_AAW7826;13
ZTITI168N24_Bosmina_Peru_BOLD_AAW7826;13
ZTITI170N24_Bosmina_Peru_BOLD_AAW7826;13
ZTITI171N24_Bosmina_Peru_BOLD_AAW7826;13
ZTITI172N24_Bosmina_Peru_BOLD_AAW7826;13
ZTITI200N25_Bosmina_Peru_BOLD_AAW7826;13
ZTITI265N25_Bosmina_Peru_BOLD_AAW7826;13
ZTITI268N25_Bosmina_Peru_BOLD_AAW7826;13
ZTITI289N25_Bosmina_Peru_BOLD_AAW7826;13
ZTITI290N25_Bosmina_Peru_BOLD_AAW7826;13
ZTITI314N25_Bosmina_Peru_BOLD_AAW7826;13
ZTITI331N25_Bosmina_Peru_BOLD_AAW7826;13
BROA022N21_Bosmina_Brazil_BOLD_AEO1713;14
BROA080N21_Bosmina_Brazil_BOLD_AEO1713;14
Liederobosmina_Argentina02a;14
Liederobosmina_Argentina02b;14
Liederobosmina_Argentina02c;14
PV786644_B_sp;14
ZPLV327N18_Bosmina_Colombia_BOLD_ADO6195;15
ZPLV328N18_Bosmina_Colombia_BOLD_ADO6195;15
ZPLV330N18_Bosmina_Colombia_BOLD_ADO6195;15
ZPLV333N18_Bosmina_Colombia_BOLD_ADO6195;15
ZPLV337N18_Bosmina_Colombia_BOLD_ADO6195;15
ZPLV371N18_Bosmina_Colombia_BOLD_ADO6195;15
Lunobosmina_oriens_USA11i;16
Lunobosmina_oriens_USA16a;16
Lunobosmina_oriens_USA16b;16
Lunobosmina_oriens_USA22a;16
CAISN020N12_Bosmina_Canada_BOLD_AAW7791;17
CAISN022N12_Bosmina_Canada_BOLD_AAW7791;17
CAISN034N12_Bosmina_Canada_BOLD_AAW7791;17
CAISN035N12_Bosmina_Canada_BOLD_AAW7791;17
CAISN914N13_B_sp_Canada_BOLD_AAW7791;17
DNARA1511N21_Bosmina_Canada_BOLD_AEA3695;17
DNARA1513N21_Bosmina_Canada_BOLD_AEA3695;17
DNARA2094N21_Bosmina_Canada_BOLD_AEA3695;17
DNARA2096N21_Bosmina_Canada_BOLD_AEA3695;17
DNARA2097N21_Bosmina_Canada_BOLD_AEA3695;17
DNARA2325N21_Bosmina_Canada_BOLD_AEA3695;17
DNARA2326N21_Bosmina_Canada_BOLD_AEA3695;17
DNARA2371N21_Bosmina_Canada_BOLD_AEA3695;17
DNARA2372N21_Bosmina_Canada_BOLD_AEA3695;17
DNARA2373N21_Bosmina_Canada_BOLD_AEA3695;17
DNARA2374N21_Bosmina_Canada_BOLD_AEA3695;17
DNARA2375N21_Bosmina_Canada_BOLD_AEA3695;17
DNARA2952N21_Bosmina_Canada_BOLD_AEA3695;17
DNARA2953N21_Bosmina_Canada_BOLD_AEA3695;17
DNARA2954N21_Bosmina_Canada_BOLD_AEA3695;17
DNARA2955N21_Bosmina_Canada_BOLD_AEA3695;17
DNARA2956N21_Bosmina_Canada_BOLD_AEA3695;17
DNARA2957N21_Bosmina_Canada_BOLD_AEA3695;17
DNARC013N19_Bosmina_Canada_BOLD_AEA3695;17
DQ310635_B_sp1_JRdWN2005;17
DQ889083_B_sp_BOLD_AAW7791;17
GCHAR1120N19_Bosmina_Canada_BOLD_AEA3695;17
GCHAR1121N19_Bosmina_Canada_BOLD_AEA3695;17
GCHAR1122N19_Bosmina_Canada_BOLD_AEA3695;17
MG449616_B_sp;17
MH321381_Eubosmina_longispina;17
MH321382_Eubosmina_longispina;17
MH321383_Eubosmina_longispina;17
MH321384_Eubosmina_longispina;17
MH321385_Eubosmina_longispina;17
MH321386_Eubosmina_longispina;17
MH321387_Eubosmina_longispina;17
MH321388_Eubosmina_longispina;17
MH321389_Eubosmina_longispina;17
MH321390_Eubosmina_longispina;17
MH321391_Eubosmina_longispina;17
MH321392_Eubosmina_longispina;17
MH321393_Eubosmina_longispina;17
MH321394_Eubosmina_longispina;17
MH321395_Eubosmina_longispina;17
MH321396_Eubosmina_longispina;17
MZ964905_B_sp1;17
MZ964907_B_sp1;17
OP829924_B_cf_longispina;17
OP829977_B_cf_coregoni;17
OP830017_B_cf_longispina;17
OP830043_B_cf_coregoni;17
OP830119_B_cf_longispina;17
OP830246_B_cf_coregoni;17
OP830292_B_cf_longispina;17
ZOOPS187N18_B_cf_longispina_Finland_BOLD_AAW7791;17
ZOOPS188N18_B_cf_longispina_Finland_BOLD_ADR9483;17
Liederobosmina_american_longispina02;18
MG936043_B_sp;18
MG936238_B_sp;18
MG936240_B_sp;18
MG936261_B_sp;18
MG936530_B_sp;18
MG936534_B_sp;18
OP830153_B_cf_longispina;18
OP830166_B_cf_longispina;18
Liederobosmina_tanakai02;19
AY075057_B_coregoni;20
B_longirostris_Argentina01aa;20
B_longirostris_Argentina03aa;20
B_longirostris_Argentina04aa;20
B_longirostris_Argentina05aa;20
B_longirostris_Argentina06aa;20
CAISN069N12_Bosmina_Canada_BOLD_ACL8120;20
DNARA1185N21_Bosmina_Canada_BOLD_AEA5586;20
DNARA1186N21_Bosmina_Canada_BOLD_AEA5586;20
DNARA1187N21_Bosmina_Canada_BOLD_AEA5586;20
DNARA1188N21_Bosmina_Canada_BOLD_AEA5586;20
DNARA1189N21_Bosmina_Canada_BOLD_AEA5586;20
DNARA1190N21_Bosmina_Canada_BOLD_AEA5586;20
DNARA1191N21_Bosmina_Canada_BOLD_AEA5586;20
DNARA1626N21_Bosmina_Canada_BOLD_AEA5586;20
DNARA1627N21_Bosmina_Canada_BOLD_AEA5586;20
DNARA1628N21_Bosmina_Canada_BOLD_AEA5586;20
DNARA1629N21_Bosmina_Canada_BOLD_AEA5586;20
DNARA1631N21_Bosmina_Canada_BOLD_AEA5586;20
DNARA1632N21_Bosmina_Canada_BOLD_AEA5586;20
DNARA1653N21_Bosmina_Canada_BOLD_AEA5586;20
DNARA1655N21_Bosmina_Canada_BOLD_AEA5586;20
DNARA1658N21_Bosmina_Canada_BOLD_AEA5586;20
DNARA1659N21_Bosmina_Canada_BOLD_AEA5586;20
DNARA1660N21_Bosmina_Canada_BOLD_AEA5586;20
DNARA1666N21_Bosmina_Canada_BOLD_AEA5586;20
DNARA1667N21_Bosmina_Canada_BOLD_AEA5586;20
DNARA1809N21_Bosmina_Canada_BOLD_AEA5586;20
