Sequence;MOTU_mPTP
ECCAJ280N23_Bosmina_Ecuador_BOLD_ACA6834;26
ECCAJ305N23_Bosmina_Ecuador_BOLD_ACA6834;26
ECCAJ317N23_Bosmina_Ecuador_BOLD_ACA6834;26
ECCAJ480N23_Bosmina_Ecuador_BOLD_ACA6834;26
ECCAJ485N24_Bosmina_Ecuador_BOLD_ACA6834;26
ECCAJ494N24_Bosmina_Ecuador_BOLD_ACA6834;26
KU315493_B_freyi;26
LC215481_B_sp;26
KC616781_B_cf_liederi;27
KC616782_B_cf_liederi;27
KC616783_B_cf_liederi;27
KC616784_B_cf_liederi;27
KC616785_B_cf_liederi;27
KC617495_B_cf_liederi;27
KC617496_B_cf_liederi;27
KC617497_B_cf_liederi;27
KC617498_B_cf_liederi;27
KC617499_B_cf_liederi;27
KY091157_B_sp_Taihuzoo;28
LC215471_B_fatalis;28
LC215472_B_fatalis;28
LC215473_B_fatalis;28
LC215474_B_fatalis;28
LC215475_B_fatalis;28
MW770308_B_fatalis;28
