Sequence;MOTU_GMYCm
Liederobosmina_Mexico08a;14
Liederobosmina_Mexico09a;14
Liederobosmina_Mexico09b;14
MCM690N17_B_sp_Mexico_BOLD_AAB9669;14
MCM691N17_B_sp_Mexico_BOLD_AAB9669;14
MCM692N17_B_sp_Mexico_BOLD_AAB9669;14
MCM693N17_B_sp_Mexico_BOLD_AAB9669;14
MCM694N17_B_sp_Mexico_BOLD_AAB9669;14
MCM695N17_B_sp_Mexico_BOLD_AAB9669;14
MCM696N17_B_sp_Mexico_BOLD_AAB9669;14
MCM697N17_B_sp_Mexico_BOLD_AAB9669;14
MCM698N17_B_sp_Mexico_BOLD_AAB9669;14
MCM699N17_B_sp_Mexico_BOLD_AAB9669;14
MCM700N17_B_sp_Mexico_BOLD_AAB9669;14
MCM701N17_B_sp_Mexico_BOLD_AAB9669;14
ZPII837N11_B_huaronensis_Mexico_BOLD_AAB9669;14
ZPII839N11_B_huaronensis_Mexico_BOLD_AAB9669;14
ZPII936N11_B_huaronensis_Mexico_BOLD_AAB9669;14
Liederobosmina_tanakai02;15
