Sequence;MOTU_GMYCm
DNARA2957N21_Bosmina_Canada_BOLD_AEA3695;5
DNARC013N19_Bosmina_Canada_BOLD_AEA3695;5
DQ310635_B_sp1_JRdWN2005;5
DQ889083_B_sp_BOLD_AAW7791;5
GCHAR1120N19_Bosmina_Canada_BOLD_AEA3695;5
GCHAR1121N19_Bosmina_Canada_BOLD_AEA3695;5
GCHAR1122N19_Bosmina_Canada_BOLD_AEA3695;5
Liederobosmina_american_longispina02;5
MG449616_B_sp;5
MG936043_B_sp;5
MG936238_B_sp;5
MG936240_B_sp;5
MG936261_B_sp;5
MG936530_B_sp;5
MG936534_B_sp;5
MH321381_Eubosmina_longispina;5
MH321382_Eubosmina_longispina;5
MH321383_Eubosmina_longispina;5
MH321384_Eubosmina_longispina;5
MH321385_Eubosmina_longispina;5
MH321386_Eubosmina_longispina;5
MH321387_Eubosmina_longispina;5
MH321388_Eubosmina_longispina;5
MH321389_Eubosmina_longispina;5
MH321390_Eubosmina_longispina;5
MH321391_Eubosmina_longispina;5
MH321392_Eubosmina_longispina;5
MH321393_Eubosmina_longispina;5
MH321394_Eubosmina_longispina;5
MH321395_Eubosmina_longispina;5
MH321396_Eubosmina_longispina;5
MZ964905_B_sp1;5
MZ964907_B_sp1;5
OP829924_B_cf_longispina;5
OP829977_B_cf_coregoni;5
OP830017_B_cf_longispina;5
OP830043_B_cf_coregoni;5
OP830119_B_cf_longispina;5
OP830153_B_cf_longispina;5
OP830166_B_cf_longispina;5
OP830246_B_cf_coregoni;5
OP830292_B_cf_longispina;5
ZOOPS187N18_B_cf_longispina_Finland_BOLD_AAW7791;5
ZOOPS188N18_B_cf_longispina_Finland_BOLD_ADR9483;5
AY075057_B_coregoni;6
B_longirostris_Argentina01aa;6
B_longirostris_Argentina03aa;6
B_longirostris_Argentina04aa;6
B_longirostris_Argentina05aa;6
B_longirostris_Argentina06aa;6
BACZP1167N16_B_liederi_Canada_BOLD_ABZ8276;6
BACZP1230N16_B_liederi_Canada_BOLD_ABZ8276;6
BACZP1255N16_B_liederi_Canada_BOLD_ABZ8276;6
CAISN069N12_Bosmina_Canada_BOLD_ACL8120;6
CAISN079N12_B_liederi_Canada_BOLD_ABZ8276;6
COAPP287N13_Bosmina_Canada_BOLD_AAI4721;6
COAPP288N13_Bosmina_Canada_BOLD_AAI4721;6
