"count","probability","cluster"
12172,0.76075,"BBCRU249N12_Bosmina_Canada_BOLD_ACA6834	COAPP296N13_Bosmina_Canada_BOLD_ACA6834	COAPP303N13_Bosmina_Canada_BOLD_ACA6834	COAPP530N13_Bosmina_Canada_BOLD_ACA6834	ECCAJ025N23_Bosmina_Ecuador_BOLD_ACA6834	ECCAJ036N23_Bosmina_Ecuador_BOLD_ACA6834	ECCAJ039N23_Bosmina_Ecuador_BOLD_ACA6834	ECCAJ040N23_Bosmina_Ecuador_BOLD_ACA6834	ECCAJ051N23_Bosmina_Ecuador_BOLD_ACA6834	ECCAJ067N23_Bosmina_Ecuador_BOLD_ACA6834	ECCAJ114N23_Bosmina_Ecuador_BOLD_ACA6834	ECCAJ129N23_Bosmina_Ecuador_BOLD_ACA6834	ECCAJ131N23_Bosmina_Ecuador_BOLD_ACA6834	ECCAJ132N23_Bosmina_Ecuador_BOLD_ACA6834	ECCAJ133N23_Bosmina_Ecuador_BOLD_ACA6834	ECCAJ134N23_Bosmina_Ecuador_BOLD_ACA6834	ECCAJ136N23_Bosmina_Ecuador_BOLD_ACA6834	ECCAJ247N23_Bosmina_Ecuador_BOLD_ACA6834	ECCAJ268N23_Bosmina_Ecuador_BOLD_ACA6834	ECCAJ270N23_Bosmina_Ecuador_BOLD_ACA6834	ECCAJ280N23_Bosmina_Ecuador_BOLD_ACA6834	ECCAJ305N23_Bosmina_Ecuador_BOLD_ACA6834	ECCAJ317N23_Bosmina_Ecuador_BOLD_ACA6834	ECCAJ480N23_Bosmina_Ecuador_BOLD_ACA6834	ECCAJ485N24_Bosmina_Ecuador_BOLD_ACA6834	ECCAJ494N24_Bosmina_Ecuador_BOLD_ACA6834	KC616781_B_cf_liederi	KC616782_B_cf_liederi	KC616783_B_cf_liederi	KC616784_B_cf_liederi	KC616785_B_cf_liederi	KC617495_B_cf_liederi	KC617496_B_cf_liederi	KC617497_B_cf_liederi	KC617498_B_cf_liederi	KC617499_B_cf_liederi	KU315493_B_freyi	LC215481_B_sp"
12161,0.7600625,"ANDEA005N22_B_cf_korineki_Colombia_BOLD_AFG1465	ANDEA006N22_B_cf_korineki_Colombia_BOLD_AFG1465	ANDEA007N22_B_cf_korineki_Colombia_BOLD_AFG1465	ANDEA008N22_B_cf_korineki_Colombia_BOLD_AFG1465	ANDEA013N22_B_cf_korineki_Colombia_BOLD_AFG1465	ANDEA024N22_B_cf_korineki_Colombia_BOLD_AFG1465	ANDEA037N22_B_cf_korineki_Colombia_BOLD_AFG1465	ANDEA038N22_B_cf_korineki_Colombia_BOLD_AFG1465	ANDEA039N22_B_cf_korineki_Colombia_BOLD_AFG1465	ANDEA040N22_B_cf_korineki_Colombia_BOLD_AFG1465	ANDEA053N22_Bosmina_Colombia_BOLD_AFG0616	ANDEA054N22_Bosmina_Colombia_BOLD_AFG0616	ANDEA055N22_Bosmina_Colombia_BOLD_AFG0616"
12130,0.758125,"EU702000_B_sp_BOLD_AAI4722	EU702001_B_sp_BOLD_AAI4722"
10913,0.6820625,"BACZP386N16_B_huaronensis_Mexico_BOLD_AAB9669	BACZP388N16_B_huaronensis_Mexico_BOLD_AAB9669	DQ310636_B_sp2_JRdWN2005	ECCAJ304N23_B_huaronensis_Ecuador_BOLD_AFI2124	ECCAJ308N23_B_huaronensis_Ecuador_BOLD_AFI2124	ECCAJ388N23_B_huaronensis_Ecuador_BOLD_AFI2124	EU702003_Eubosmina_huaronensis	EU702004_Eubosmina_huaronensis	EU702005_Eubosmina_huaronensis	EU702006_Eubosmina_huaronensis	EU702007_Eubosmina_huaronensis	EU702008_Eubosmina_huaronensis	EU702009_Eubosmina_huaronensis	EU702010_Eubosmina_huaronensis	EU702011_Eubosmina_huaronensis	EU702012_Eubosmina_huaronensis	EU702013_Eubosmina_huaronensis	EU702014_Eubosmina_huaronensis	EU702015_Eubosmina_huaronensis	EU702016_Eubosmina_huaronensis	EU702017_Eubosmina_huaronensis	KC616786_Eubosmina_huaronensis	KC616787_Eubosmina_huaronensis	KC616788_Eubosmina_huaronensis	KC616789_Eubosmina_huaronensis	KC616790_Eubosmina_huaronensis	KC616791_Eubosmina_huaronensis	KC616792_Eubosmina_huaronensis	KC616793_Eubosmina_huaronensis	KC617500_Eubosmina_huaronensis	KC617501_Eubosmina_huaronensis	KC617502_Eubosmina_huaronensis	KC617503_Eubosmina_huaronensis	KC617504_Eubosmina_huaronensis	KC617505_Eubosmina_huaronensis	KC617506_Eubosmina_huaronensis	KC617507_Eubosmina_huaronensis	KC617508_Eubosmina_huaronensis	KC617509_Eubosmina_huaronensis	KC617510_Eubosmina_huaronensis	KC617511_Eubosmina_huaronensis	Liederobosmina_cf_huaronensis_USA03a	Liederobosmina_cf_huaronensis_USA03b	Liederobosmina_huaronensis_Argentina01a	Liederobosmina_huaronensis_Argentina02e	Liederobosmina_huaronensis_Argentina02f	Liederobosmina_huaronensis_Argentina04a	Liederobosmina_huaronensis_Argentina05a	Liederobosmina_huaronensis_Argentina06a	Liederobosmina_Mexico01b	Liederobosmina_Mexico01c	Liederobosmina_Mexico01d	Liederobosmina_Mexico01e	Liederobosmina_Mexico01f	Liederobosmina_Mexico01g	Liederobosmina_Mexico01h	Liederobosmina_Mexico04a	Liederobosmina_Mexico04b	Liederobosmina_Mexico04c	Liederobosmina_Mexico05a	Liederobosmina_Mexico05b	Liederobosmina_Mexico05c	Liederobosmina_Mexico05d	Liederobosmina_Mexico05e	Liederobosmina_Mexico06a	Liederobosmina_Mexico06c	Liederobosmina_Mexico07a	Liederobosmina_Mexico08a	Liederobosmina_Mexico09a	Liederobosmina_Mexico09b	Liederobosmina_Mexico10a	Liederobosmina_Mexico10b	Liederobosmina_Mexico11a	Liederobosmina_Mexico11b	Liederobosmina_Mexico11c	MCM690N17_B_sp_Mexico_BOLD_AAB9669	MCM691N17_B_sp_Mexico_BOLD_AAB9669	MCM692N17_B_sp_Mexico_BOLD_AAB9669	MCM693N17_B_sp_Mexico_BOLD_AAB9669	MCM694N17_B_sp_Mexico_BOLD_AAB9669	MCM695N17_B_sp_Mexico_BOLD_AAB9669	MCM696N17_B_sp_Mexico_BOLD_AAB9669	MCM697N17_B_sp_Mexico_BOLD_AAB9669	MCM698N17_B_sp_Mexico_BOLD_AAB9669	MCM699N17_B_sp_Mexico_BOLD_AAB9669	MCM700N17_B_sp_Mexico_BOLD_AAB9669	MCM701N17_B_sp_Mexico_BOLD_AAB9669	MG449420_Eubosmina_huaronensis	MG450143_Eubosmina_huaronensis	ZPII1067N11_B_huaronensis_Mexico_BOLD_AAB9669	ZPII1068N11_B_huaronensis_Mexico_BOLD_AAB9669	ZPII1106N11_B_huaronensis_Mexico_BOLD_AAZ8987	ZPII1454N11_B_huaronensis_Mexico_BOLD_AAB9669	ZPII837N11_B_huaronensis_Mexico_BOLD_AAB9669	ZPII839N11_B_huaronensis_Mexico_BOLD_AAB9669	ZPII936N11_B_huaronensis_Mexico_BOLD_AAB9669	ZPLIV506N11_B_huaronensis_Mexico_BOLD_AAB9669	ZPLIV507N11_B_huaronensis_Mexico_BOLD_AAB9669	ZPLIV508N11_B_huaronensis_Mexico_BOLD_AAB9669	ZPLIV509N11_B_huaronensis_Mexico_BOLD_AAB9669	ZPLIV515N11_B_huaronensis_Mexico_BOLD_AAB9669	ZPLIV601N11_B_huaronensis_Mexico_BOLD_AAB9669	ZPLIV602N11_B_huaronensis_Mexico_BOLD_AAB9669	ZPLIV603N11_B_huaronensis_Mexico_BOLD_AAB9669	ZPLIV604N11_B_huaronensis_Mexico_BOLD_AAB9669	ZPLIV610N11_B_huaronensis_Mexico_BOLD_AAB9669	ZPLIV690N11_B_huaronensis_Mexico_BOLD_AAB9669	ZPLIV750N11_B_huaronensis_Mexico_BOLD_AAB9669	ZPLMX146N06_B_huaronensis_Mexico_BOLD_AAB9669	ZPLMX147N06_B_huaronensis_Mexico_BOLD_AAB9669	ZPLMX148N06_B_huaronensis_Mexico_BOLD_AAB9669	ZPLMX240N06_B_huaronensis_Mexico_BOLD_AAB9669	ZPLMX401N06_B_huaronensis_Mexico_BOLD_AAB9669	ZPLMX402N06_B_huaronensis_Mexico_BOLD_AAB9669	ZPLMX403N06_B_huaronensis_Mexico_BOLD_AAB9669	ZPLMX404N06_B_huaronensis_Mexico_BOLD_AAB9669	ZPLMX405N06_B_huaronensis_Mexico_BOLD_AAB9669	ZPLMX406N06_B_huaronensis_Mexico_BOLD_AAB9669	ZPLMX407N06_B_huaronensis_Mexico_BOLD_AAB9669	ZPLMX849N06_B_huaronensis_Mexico_BOLD_AAB9669	ZPLMX850N06_B_huaronensis_Mexico_BOLD_AAB9669	ZPLMX851N06_B_huaronensis_Mexico_BOLD_AAB9669	ZPLMX852N06_B_huaronensis_Mexico_BOLD_AAB9669	ZTITI005N23_Bosmina_Peru_BOLD_AAW7826	ZTITI007N23_Bosmina_Peru_BOLD_AAW7826	ZTITI008N23_Bosmina_Peru_BOLD_AAW7826	ZTITI024N23_Bosmina_Peru_BOLD_AAW7826	ZTITI039N23_Bosmina_Peru_BOLD_AAW7826	ZTITI044N23_Bosmina_Peru_BOLD_AAW7826	ZTITI089N23_Bosmina_Peru_BOLD_AAW7826	ZTITI168N24_Bosmina_Peru_BOLD_AAW7826	ZTITI170N24_Bosmina_Peru_BOLD_AAW7826	ZTITI171N24_Bosmina_Peru_BOLD_AAW7826	ZTITI172N24_Bosmina_Peru_BOLD_AAW7826	ZTITI200N25_Bosmina_Peru_BOLD_AAW7826	ZTITI265N25_Bosmina_Peru_BOLD_AAW7826	ZTITI268N25_Bosmina_Peru_BOLD_AAW7826	ZTITI289N25_Bosmina_Peru_BOLD_AAW7826	ZTITI290N25_Bosmina_Peru_BOLD_AAW7826	ZTITI314N25_Bosmina_Peru_BOLD_AAW7826	ZTITI331N25_Bosmina_Peru_BOLD_AAW7826"
10831,0.6769375,"BACZP387N16_B_longirostris_Mexico_BOLD_AAD9496	BBCRU025N10_Bosmina_Canada_BOLD_AAV0686	COAPP312N13_Bosmina_Canada_BOLD_ABX4934	COAPP558N13_Bosmina_Canada_BOLD_ABX4934	EU702018_B_longirostris	EU702019_B_longirostris	EU702020_B_longirostris	HM883958_B_longirostris	HM883961_B_longirostris	HM883995_B_longirostris	HM883999_B_longirostris	JN290618_Anomopoda_sp_BOLD_AAV0686	JN290619_Anomopoda_sp_BOLD_AAV0686	JN290620_Anomopoda_sp_BOLD_AAV0686	JN290621_Anomopoda_sp_BOLD_AAV0686	JN290621_Anomopoda_sp_BOLD_AAV06865	JN290622_Anomopoda_sp_BOLD_AAV0686	KM611608_B_sp_BOLD_AAV0686	MG448688_B_longirostris	MG448689_B_longirostris	MG448838_B_longirostris	MG449713_B_longirostris	MG449850_B_longirostris	MG449851_B_longirostris	MG449952_B_longirostris	MG449967_B_longirostris_FREYI2_AK	MG449982_B_longirostris	MG450021_B_longirostris	MG450033_B_longirostris	MG450086_B_longirostris	MG450147_B_longirostris	ZPLCA001N06_Bosmina_Canada_BOLD_ABX4934	ZPLKA177N15_B_longirostris_Mexico_BOLD_AAD9496	ZPLV090N17_B_longirostris_Mexico_BOLD_AAD9496	ZPLV091N17_B_longirostris_Mexico_BOLD_AAD9496	ZPLV092N17_B_longirostris_Mexico_BOLD_AAD9496	ZPLV097N17_B_longirostris_Mexico_BOLD_AAD9496	ZPLV098N17_B_longirostris_Mexico_BOLD_AAD9496"
9481,0.5925625,"DNARA1457N21_Bosmina_Canada_BOLD_AEN5568	DNARA1630N21_Bosmina_Canada_BOLD_AEN5568	DNARA1682N21_Bosmina_Canada_BOLD_AEN5568	DNARA1683N21_Bosmina_Canada_BOLD_AEN5568	DNARA1684N21_Bosmina_Canada_BOLD_AEN5568	DNARA1811N21_Bosmina_Canada_BOLD_AEN5568	DNARA1812N21_Bosmina_Canada_BOLD_AEN5568"
7994,0.499625,"BCRUA087N10_Bosmina_United_States_BOLD_AAD9782	BCRUA088N10_Bosmina_United_States_BOLD_AAD9782	BCRUA159N10_Bosmina_United_States_BOLD_AAD9782	BCRUA161N10_Bosmina_United_States_BOLD_AAD9782	CAZUL101N17_B_tubicen_Mexico_BOLD_AAD9782	CAZUL102N17_B_tubicen_Mexico_BOLD_AAD9782	CAZUL104N17_B_tubicen_Mexico_BOLD_AAD9782	CAZUL105N17_B_tubicen_Mexico_BOLD_AAD9782	CAZUL191N17_B_tubicen_Mexico_BOLD_AAD9782	CAZUL192N17_B_tubicen_Mexico_BOLD_AAD9782	CAZUL193N17_B_tubicen_Mexico_BOLD_AAD9782	CAZUL194N17_B_tubicen_Mexico_BOLD_AAD9782	CAZUL195N17_B_tubicen_Mexico_BOLD_AAD9782	COAPP328N13_Bosmina_Canada_BOLD_ACF9023	COAPP329N13_Bosmina_Canada_BOLD_ACF9023	COAPP559N13_Bosmina_Canada_BOLD_ACF9023	EU702022_Eubosmina_tubicen	EU702023_Eubosmina_tubicen	EU702024_Eubosmina_tubicen	EU702025_Eubosmina_tubicen	EU702026_Eubosmina_tubicen	EXDB1873N21_B_tubicen_Mexico_BOLD_AAD9782	EXDB448N20_B_tubicen_Mexico_BOLD_AAD9782	EXDB579N21_B_tubicen_Mexico_BOLD_AAD9782	EXDB731N21_B_tubicen_Mexico_BOLD_AAD9782	EXDB732N21_B_tubicen_Mexico_BOLD_AAD9782	JN294865_Anomopoda_sp_BOLD_AAD9782	JN294866_Anomopoda_sp_BOLD_AAD9782	JN294889_Anomopoda_sp_BOLD_AAD9782	JN294890_Anomopoda_sp_BOLD_AAD9782	KC617008_Eubosmina_tubicen	KC617009_Eubosmina_tubicen	KC617010_Eubosmina_tubicen	KC617011_Eubosmina_tubicen	KC617012_Eubosmina_tubicen	KC617013_Eubosmina_tubicen	KC617494_Eubosmina_tubicen	KC617636_Eubosmina_tubicen	Liederobosmina_Guatemala01a	Liederobosmina_Guatemala01b	Liederobosmina_Guatemala01c	Liederobosmina_Guatemala01d	Liederobosmina_Guatemala01e	Liederobosmina_Mexico02a	Liederobosmina_Mexico02b	Liederobosmina_Mexico03a	Liederobosmina_USA05a	Liederobosmina_USA08a	Liederobosmina_USA08b	Liederobosmina_USA11a	Liederobosmina_USA11b	Liederobosmina_USA11c	Liederobosmina_USA11d	Liederobosmina_USA11e	Liederobosmina_USA13a	Liederobosmina_USA14a	Liederobosmina_USA14b	Liederobosmina_USA20a	Liederobosmina_USA21a	Liederobosmina_USA21b	Liederobosmina_USA23a	MT888232_Eubosmina_tubicen	MT888247_Eubosmina_tubicen	MT888279_Eubosmina_tubicen	MT888325_Eubosmina_tubicen	MT888336_Eubosmina_tubicen	MT888361_Eubosmina_tubicen	MT888366_Eubosmina_tubicen	MT888464_Eubosmina_tubicen	MT888481_Eubosmina_tubicen	MZ517301_Eubosmina_tubicen	MZ517335_Eubosmina_tubicen	MZ517466_Eubosmina_tubicen	MZ517641_Eubosmina_tubicen	MZ517674_Eubosmina_tubicen	MZ517739_Eubosmina_tubicen	MZ517828_Eubosmina_tubicen	MZ517857_Eubosmina_tubicen	MZ517893_Eubosmina_tubicen	MZ517899_Eubosmina_tubicen	MZ517920_Eubosmina_tubicen	MZ517951_Eubosmina_tubicen	SKAAN072N19_B_tubicen_Mexico_BOLD_AAD9782	SKAAN074N19_B_tubicen_Mexico_BOLD_AAD9782	SKAAN075N19_B_tubicen_Mexico_BOLD_AAD9782	SKAAN126N19_B_tubicen_Mexico_BOLD_AAD9782	SKAAN128N19_B_tubicen_Mexico_BOLD_AAD9782	SKAAN305N19_B_tubicen_Mexico_BOLD_AAD9782	SKAAN316N19_B_tubicen_Mexico_BOLD_AAD9782	SKAAN737N19_B_tubicen_Mexico_BOLD_AAD9782	SKAAN742N19_B_tubicen_Mexico_BOLD_AAD9782	SKAAN872N19_B_tubicen_Mexico_BOLD_AAD9782	SKAAN883N19_B_tubicen_Mexico_BOLD_AAD9782	SKAAN890N19_B_tubicen_Mexico_BOLD_AAD9782	ZPLIV669N11_B_bosmina_tubicen_Mexico_BOLD_AAD9782	ZPLMX140N06_B_tubicen_Guatemala_BOLD_AAD9782	ZPLMX141N06_B_tubicen_Guatemala_BOLD_AAD9782	ZPLMX409N06_B_tubicen_Guatemala_BOLD_AAD9782	ZPLMX410N06_B_tubicen_Guatemala_BOLD_AAD9782	ZPLMX411N06_B_tubicen_Guatemala_BOLD_AAD9782"
7045,0.4403125,"LC215478_B_cf_longirostris	LC215479_B_cf_longirostris	LC215480_B_cf_longirostris"
5199,0.3249375,"DNARA1652N21_Bosmina_Canada_BOLD_AEN5581	DNARA1820N21_Bosmina_Canada_BOLD_AEN5581	LC215477_B_cf_longirostris	MW786945_B_fatalis"
5125,0.3203125,"DNARA1457N21_Bosmina_Canada_BOLD_AEN5568	DNARA1630N21_Bosmina_Canada_BOLD_AEN5568	DNARA1652N21_Bosmina_Canada_BOLD_AEN5581	DNARA1682N21_Bosmina_Canada_BOLD_AEN5568	DNARA1683N21_Bosmina_Canada_BOLD_AEN5568	DNARA1684N21_Bosmina_Canada_BOLD_AEN5568	DNARA1811N21_Bosmina_Canada_BOLD_AEN5568	DNARA1812N21_Bosmina_Canada_BOLD_AEN5568	DNARA1820N21_Bosmina_Canada_BOLD_AEN5581	LC215477_B_cf_longirostris	LC215478_B_cf_longirostris	LC215479_B_cf_longirostris	LC215480_B_cf_longirostris	MW786945_B_fatalis"
