Sequence;MOTU_Ward
Liederobosmina_Argentina03b;11
BACZP386N16_B_huaronensis_Mexico_BOLD_AAB9669;12
BACZP388N16_B_huaronensis_Mexico_BOLD_AAB9669;12
EU702003_Eubosmina_huaronensis;12
EU702004_Eubosmina_huaronensis;12
EU702005_Eubosmina_huaronensis;12
EU702006_Eubosmina_huaronensis;12
EU702007_Eubosmina_huaronensis;12
EU702008_Eubosmina_huaronensis;12
EU702009_Eubosmina_huaronensis;12
EU702010_Eubosmina_huaronensis;12
EU702011_Eubosmina_huaronensis;12
EU702012_Eubosmina_huaronensis;12
EU702013_Eubosmina_huaronensis;12
EU702014_Eubosmina_huaronensis;12
EU702015_Eubosmina_huaronensis;12
EU702016_Eubosmina_huaronensis;12
EU702017_Eubosmina_huaronensis;12
KC616786_Eubosmina_huaronensis;12
KC616788_Eubosmina_huaronensis;12
KC616789_Eubosmina_huaronensis;12
KC616790_Eubosmina_huaronensis;12
KC616791_Eubosmina_huaronensis;12
KC616792_Eubosmina_huaronensis;12
KC616793_Eubosmina_huaronensis;12
KC617500_Eubosmina_huaronensis;12
KC617501_Eubosmina_huaronensis;12
KC617502_Eubosmina_huaronensis;12
KC617503_Eubosmina_huaronensis;12
KC617504_Eubosmina_huaronensis;12
KC617505_Eubosmina_huaronensis;12
KC617506_Eubosmina_huaronensis;12
KC617507_Eubosmina_huaronensis;12
KC617508_Eubosmina_huaronensis;12
KC617509_Eubosmina_huaronensis;12
KC617510_Eubosmina_huaronensis;12
KC617511_Eubosmina_huaronensis;12
Liederobosmina_cf_huaronensis_USA03a;12
Liederobosmina_cf_huaronensis_USA03b;12
Liederobosmina_Mexico01b;12
Liederobosmina_Mexico01c;12
Liederobosmina_Mexico01d;12
Liederobosmina_Mexico01e;12
Liederobosmina_Mexico01f;12
Liederobosmina_Mexico01g;12
Liederobosmina_Mexico01h;12
Liederobosmina_Mexico04a;12
Liederobosmina_Mexico04b;12
Liederobosmina_Mexico04c;12
Liederobosmina_Mexico05a;12
Liederobosmina_Mexico05b;12
Liederobosmina_Mexico05c;12
Liederobosmina_Mexico05d;12
Liederobosmina_Mexico05e;12
Liederobosmina_Mexico06a;12
Liederobosmina_Mexico06c;12
Liederobosmina_Mexico07a;12
Liederobosmina_Mexico08a;12
Liederobosmina_Mexico09a;12
Liederobosmina_Mexico09b;12
Liederobosmina_Mexico10b;12
Liederobosmina_Mexico11a;12
Liederobosmina_Mexico11b;12
Liederobosmina_Mexico11c;12
MCM690N17_B_sp_Mexico_BOLD_AAB9669;12
MCM691N17_B_sp_Mexico_BOLD_AAB9669;12
MCM692N17_B_sp_Mexico_BOLD_AAB9669;12
MCM693N17_B_sp_Mexico_BOLD_AAB9669;12
MCM694N17_B_sp_Mexico_BOLD_AAB9669;12
MCM695N17_B_sp_Mexico_BOLD_AAB9669;12
MCM696N17_B_sp_Mexico_BOLD_AAB9669;12
MCM697N17_B_sp_Mexico_BOLD_AAB9669;12
MCM698N17_B_sp_Mexico_BOLD_AAB9669;12
MCM699N17_B_sp_Mexico_BOLD_AAB9669;12
MCM700N17_B_sp_Mexico_BOLD_AAB9669;12
MCM701N17_B_sp_Mexico_BOLD_AAB9669;12
MG449420_Eubosmina_huaronensis;12
MG450143_Eubosmina_huaronensis;12
ZPII1067N11_B_huaronensis_Mexico_BOLD_AAB9669;12
ZPII1068N11_B_huaronensis_Mexico_BOLD_AAB9669;12
ZPII1454N11_B_huaronensis_Mexico_BOLD_AAB9669;12
ZPII837N11_B_huaronensis_Mexico_BOLD_AAB9669;12
ZPII839N11_B_huaronensis_Mexico_BOLD_AAB9669;12
ZPII936N11_B_huaronensis_Mexico_BOLD_AAB9669;12
ZPLIV506N11_B_huaronensis_Mexico_BOLD_AAB9669;12
ZPLIV507N11_B_huaronensis_Mexico_BOLD_AAB9669;12
ZPLIV508N11_B_huaronensis_Mexico_BOLD_AAB9669;12
ZPLIV509N11_B_huaronensis_Mexico_BOLD_AAB9669;12
ZPLIV515N11_B_huaronensis_Mexico_BOLD_AAB9669;12
ZPLIV601N11_B_huaronensis_Mexico_BOLD_AAB9669;12
ZPLIV602N11_B_huaronensis_Mexico_BOLD_AAB9669;12
ZPLIV603N11_B_huaronensis_Mexico_BOLD_AAB9669;12
ZPLIV604N11_B_huaronensis_Mexico_BOLD_AAB9669;12
ZPLIV610N11_B_huaronensis_Mexico_BOLD_AAB9669;12
ZPLIV690N11_B_huaronensis_Mexico_BOLD_AAB9669;12
ZPLIV750N11_B_huaronensis_Mexico_BOLD_AAB9669;12
ZPLMX146N06_B_huaronensis_Mexico_BOLD_AAB9669;12
ZPLMX147N06_B_huaronensis_Mexico_BOLD_AAB9669;12
ZPLMX148N06_B_huaronensis_Mexico_BOLD_AAB9669;12
ZPLMX240N06_B_huaronensis_Mexico_BOLD_AAB9669;12
ZPLMX401N06_B_huaronensis_Mexico_BOLD_AAB9669;12
ZPLMX402N06_B_huaronensis_Mexico_BOLD_AAB9669;12
ZPLMX403N06_B_huaronensis_Mexico_BOLD_AAB9669;12
ZPLMX404N06_B_huaronensis_Mexico_BOLD_AAB9669;12
ZPLMX405N06_B_huaronensis_Mexico_BOLD_AAB9669;12
ZPLMX406N06_B_huaronensis_Mexico_BOLD_AAB9669;12
ZPLMX407N06_B_huaronensis_Mexico_BOLD_AAB9669;12
ZPLMX849N06_B_huaronensis_Mexico_BOLD_AAB9669;12
ZPLMX850N06_B_huaronensis_Mexico_BOLD_AAB9669;12
ZPLMX851N06_B_huaronensis_Mexico_BOLD_AAB9669;12
ZPLMX852N06_B_huaronensis_Mexico_BOLD_AAB9669;12
ECCAJ304N23_B_huaronensis_Ecuador_BOLD_AFI2124;13
ECCAJ308N23_B_huaronensis_Ecuador_BOLD_AFI2124;13
ECCAJ388N23_B_huaronensis_Ecuador_BOLD_AFI2124;13
KC616787_Eubosmina_huaronensis;13
Liederobosmina_Mexico10a;13
ZPII1106N11_B_huaronensis_Mexico_BOLD_AAZ8987;13
DQ310636_B_sp2_JRdWN2005;14
Liederobosmina_huaronensis_Argentina01a;14
Liederobosmina_huaronensis_Argentina02e;14
Liederobosmina_huaronensis_Argentina02f;14
Liederobosmina_huaronensis_Argentina04a;14
Liederobosmina_huaronensis_Argentina05a;14
Liederobosmina_huaronensis_Argentina06a;14
ZTITI005N23_Bosmina_Peru_BOLD_AAW7826;14
ZTITI007N23_Bosmina_Peru_BOLD_AAW7826;14
ZTITI008N23_Bosmina_Peru_BOLD_AAW7826;14
ZTITI024N23_Bosmina_Peru_BOLD_AAW7826;14
ZTITI039N23_Bosmina_Peru_BOLD_AAW7826;14
ZTITI044N23_Bosmina_Peru_BOLD_AAW7826;14
ZTITI089N23_Bosmina_Peru_BOLD_AAW7826;14
ZTITI168N24_Bosmina_Peru_BOLD_AAW7826;14
ZTITI170N24_Bosmina_Peru_BOLD_AAW7826;14
ZTITI171N24_Bosmina_Peru_BOLD_AAW7826;14
ZTITI172N24_Bosmina_Peru_BOLD_AAW7826;14
ZTITI200N25_Bosmina_Peru_BOLD_AAW7826;14
ZTITI265N25_Bosmina_Peru_BOLD_AAW7826;14
ZTITI268N25_Bosmina_Peru_BOLD_AAW7826;14
ZTITI289N25_Bosmina_Peru_BOLD_AAW7826;14
ZTITI290N25_Bosmina_Peru_BOLD_AAW7826;14
ZTITI314N25_Bosmina_Peru_BOLD_AAW7826;14
ZTITI331N25_Bosmina_Peru_BOLD_AAW7826;14
BROA022N21_Bosmina_Brazil_BOLD_AEO1713;15
BROA080N21_Bosmina_Brazil_BOLD_AEO1713;15
Liederobosmina_Argentina02a;15
Liederobosmina_Argentina02b;15
Liederobosmina_Argentina02c;15
PV786644_B_sp;15
ZPLV327N18_Bosmina_Colombia_BOLD_ADO6195;16
ZPLV328N18_Bosmina_Colombia_BOLD_ADO6195;16
ZPLV330N18_Bosmina_Colombia_BOLD_ADO6195;16
ZPLV333N18_Bosmina_Colombia_BOLD_ADO6195;16
ZPLV337N18_Bosmina_Colombia_BOLD_ADO6195;16
ZPLV371N18_Bosmina_Colombia_BOLD_ADO6195;16
Lunobosmina_oriens_USA11i;17
Lunobosmina_oriens_USA16a;17
Lunobosmina_oriens_USA16b;17
Lunobosmina_oriens_USA22a;17
