Sequence;MOTU_Ward
ECCAJ280N23_Bosmina_Ecuador_BOLD_ACA6834;38
ECCAJ305N23_Bosmina_Ecuador_BOLD_ACA6834;38
ECCAJ317N23_Bosmina_Ecuador_BOLD_ACA6834;38
ECCAJ480N23_Bosmina_Ecuador_BOLD_ACA6834;38
ECCAJ485N24_Bosmina_Ecuador_BOLD_ACA6834;38
ECCAJ494N24_Bosmina_Ecuador_BOLD_ACA6834;38
KU315493_B_freyi;38
LC215481_B_sp;38
KC616781_B_cf_liederi;39
KC616782_B_cf_liederi;39
KC616783_B_cf_liederi;39
KC616784_B_cf_liederi;39
KC616785_B_cf_liederi;39
KC617495_B_cf_liederi;39
KC617496_B_cf_liederi;39
KC617497_B_cf_liederi;39
KC617498_B_cf_liederi;39
KC617499_B_cf_liederi;39
KY091157_B_sp_Taihuzoo;40
LC215471_B_fatalis;40
LC215472_B_fatalis;40
LC215473_B_fatalis;40
LC215474_B_fatalis;40
LC215475_B_fatalis;40
MW770308_B_fatalis;40
